taxon_no,taxon_name
172630,Beyrichitidae
142247,Beyrichonidae
315960,Bicellariellidae
124201,Biernatidae
315967,Bifaxariidae
155127,Bigotinidae
116160,Billingsariidae
124904,Billingsellidae
93188,Biloclymeniidae
103911,Bimuriidae
134167,Binneyitidae
54880,Birgeriidae
304817,Birkeniidae
93048,Bisatoceratidae
118701,Bitectiporidae
59384,Bithyniidae
126841,Bittnerulidae
348886,Blastocystidae
266198,Blenniidae
219598,Blepharipodidae
127953,Blochiidae
129876,Blothrocrinidae
99755,Bobasatraniidae
129922,Bochianitidae
80684,Bohemiellidae
155130,Bohemillidae
154914,Bolaspididae
187308,Bolliidae
130465,Boreiothyrididae
208322,Boreolepidae
343349,Borsoniidae
82282,Bothidae
168787,Bothriocidaridae
259726,Bothriolepididae
115083,Bothrophyllidae
203988,Botryocrinidae
117840,Botsfordiidae
130711,Bouchardiidae
154884,Brachaeluridae
205797,Brachiospongiidae
122652,Brachycycloceratidae
292191,Brachycytheridae
302974,Brachylepadidae
56732,Brachymetopidae
106724,Brachyphylliidae
206648,Brachyschismatidae
83499,Brachythyrididae
118581,Brachytrematidae
134236,Bradoriidae
82272,Branchiostegidae
96537,Brancoceratidae
58092,Bransoniidae
133524,Bregmacerotidae
170397,Brembodontidae
127898,Brevicoceratidae
123536,Bridgerocrinidae
167165,Brissidae
118684,Bryocryptellidae
118735,Bryopastoridae
307920,Bubaridae
70830,Bucanellidae
70831,Bucaniidae
59409,Buccinidae
90696,Buccinulidae
147658,Bucculentidae
59417,Buchiidae
103418,Buchiolidae
118660,Buffonellodidae
180668,Bufinidae
59421,Bulimidae
324348,Bulimulidae
59425,Bullidae
59426,Bullinidae
57037,Burgundiidae
94355,Burlingiidae
59430,Burmesiidae
59432,Bursidae
258451,Byrrangoceratidae
266089,Bythitidae
162986,Bythocyprididae
142870,Bythocytheridae
59441,Caecidae
106807,Calamophylliidae
302281,Calanticidae
93849,Calappidae
162215,Calcancoridae
214933,Calceocrinidae
85936,Calceolidae
123559,Calceolispongiidae
161966,Calclamnidae
118738,Calescharidae
66316,Callianassidae
101372,Calliasterellidae
83789,Callichthyidae
266110,Callionymidae
110057,Calliostomatidae
253043,Calliotropidae
241972,Callipurbeckiidae
259426,Callocystitidae
81519,Callodictyidae
81554,Callodictyonidae
82214,Calloporidae
285292,Callorhinchidae
89502,Callorhynchidae
133750,Calmoniidae
154074,Calodiscidae
152066,Calometridae
110451,Calostylidae
220075,Calycocrinidae
85380,Calymenidae
59508,Calyptraeidae
189766,Calyptrellidae
333755,Camaenidae
116302,Camarocarcinidae
97449,Camarotoechiidae
217943,Cambaridae
65473,Cambridiidae
125136,Camerellidae
189774,Camerospongiidae
59513,Campanilidae
114679,Campophyllidae
121033,Canadaspididae
59518,Cancellariidae
81039,Cancellothyrididae
68990,Cancridae
118667,Candidae
131413,Candonidae
162956,Canisiidae
242209,Canobiidae
81038,Capillithyrididae
59525,Caprinidae
161633,Caprinulidae
308423,Caprinuloideidae
266288,Caproidae
59526,Caprotinidae
59527,Capulidae
338777,Carabocrinidae
83270,Carangidae
133557,Carapidae
122576,Carbactinoceratidae
70833,Carcassonnellidae
83183,Carcharhinidae
123443,Carcharidae
80609,Carchariidae
118028,Carcharodontidae
224462,Carcinidae
286987,Carcinosomatidae
123880,Cardiarinidae
59532,Cardiidae
59535,Cardiliidae
59536,Cardiniidae
301243,Cardioceratidae
213987,Cardiolariidae
136804,Cardiolidae
96141,Cardiolithidae
59551,Carditidae
148982,Carinachitidae
59572,Carinariidae
127049,Carinatinidae
110497,Carinocarcinoididae
93184,Carinoclymeniidae
287310,Carinolithidae
294475,Carinopeltidae
86684,Carnitidae
182570,Carnocladiidae
117295,Carolastraeidae
91440,Carpiliidae
70289,Carterellidae
59575,Carydiidae
150156,Caryocarididae
299963,Caryocystitidae
54200,Caryophylliidae
209098,Caseodontidae
85973,Cassianebalidae
59581,Cassianellidae
119855,Cassianothalamiidae
59582,Cassidae
59583,Cassididae
168468,Cassidulidae
120381,Cassiopidae
145809,Catacrinidae
111568,Catantostomatidae
118672,Catenicellidae
70212,Catenispongiidae
319276,Cathaysiorthidae
82595,Catillicephalidae
144638,Catillocrinidae
83688,Catostomidae
121373,Caturidae
142855,Cavellinidae
59601,Cavoliniidae
133753,Cedariidae
83513,Cellariidae
82187,Celleporidae
172746,Celtitidae
56694,Celyphiidae
316857,Cenoceratidae
211585,Cenomanocarcinidae
266325,Centracanthidae
83690,Centrarchidae
113878,Centristelidae
128337,Centroceratidae
266117,Centrolophidae
130636,Centronellidae
131681,Centrophoridae
154831,Centropleuridae
131418,Centropomidae
70250,Ceotinellidae
187576,Cephaloraphiditidae
268252,Ceramoporidae
86674,Ceratitidae
70835,Ceratoconidae
57670,Ceratodontidae
59610,Ceratomyidae
59611,Ceratomyopsidae
119018,Ceratoporellidae
82589,Ceratopygidae
142277,Ceratothecidae
124202,Ceratretidae
173984,Cercidocrinidae
327662,Cerioporidae
120390,Cerithiidae
59624,Cerithiopsidae
99862,Cestraciontidae
83165,Cetorhinidae
123917,Chaenocardiidae
81136,Chaetasteridae
56425,Chaetetidae
266290,Chaetodontidae
90929,Chaetopleuridae
114006,Chainodictyonidae
59662,Chamidae
85331,Chancelloriidae
105041,Changshaniidae
170406,Chanidae
252925,Channidae
118663,Chaperiidae
265775,Characidae
165243,Chasmatoporidae
110498,Chasmocarcinidae
63161,Cheeneetnukiidae
133756,Cheilocephalidae
92900,Cheiloceratidae
118676,Cheiloporinidae
70160,Cheilosporitiidae
200056,Cheilotrypidae
224406,Cheiragonidae
288856,Cheirocrinidae
131803,Cheiropterasteridae
85334,Cheiruridae
302314,Chelonibiidae
187560,Chenendoporidae
167477,Chengjiangocarididae
154830,Chengkouaspidae
155134,Chengkouiidae
130467,Cheniothyrididae
110858,Chiastoclonellidae
122478,Chihlioceratidae
124228,Chileidae
124878,Chilidiopsidae
264782,Chilinidae
111562,Chilodontidae
132672,Chimaeridae
285290,Chimaeropsidae
143241,Chiplonkarinidae
59671,Chiridotidae
164889,Chiridotitidae
117695,Chirocentridae
219462,Chirostylidae
59672,Chitonidae
118677,Chlidoniidae
118678,Chlidoniopsidae
130628,Chlidonophoridae
266039,Chlorophthalmidae
127820,Choanoceratidae
179257,Choiidae
151615,Chondrenchelyidae
59702,Chondrodontidae
94900,Chondrosteidae
96899,Chonetidae
124863,Chonopectidae
110456,Chonophyllidae
122308,Chonostegitidae
110170,Chonostrophiidae
82942,Choristitidae
86828,Choristoceratidae
118679,Chorizoporidae
103904,Christianiidae
93060,Christioceratidae
125094,Chrustenoporidae
302312,Chthamalidae
68625,Chuchlinidae
179616,Cichlidae
111933,Cidaridae
127375,Cimicinellidae
107029,Cimidae
327156,Cinctiporidae
59717,Cingulopsidae
96133,Circothecidae
93916,Cirolanidae
59726,Cirridae
100974,Cladiscitidae
151045,Cladocoropsidae
304288,Cladocyclidae
113619,Cladophylliidae
244170,Claraiidae
131416,Clariidae
125131,Clarkellidae
66123,Clathrocrinidae
85404,Clathrodictyidae
327469,Clausiliidae
59746,Clavagellidae
95216,Clavagnostidae
121087,Clavatulidae
59751,Cleidothaeridae
89747,Cleistoporidae
132814,Cleoniceratidae
119014,Cliefdenellidae
127792,Clinoceratidae
70259,Clionaidae
59760,Clionidae
86812,Clionititidae
58671,Clisospiridae
124907,Clitambonitidae
125859,Clorindidae
66426,Cloudinidae
134525,Clupavidae
53981,Clupeidae
128372,Clydonautilidae
301231,Clydoniceratidae
93207,Clymeniidae
153376,Clypeasteridae
151094,Clypeidae
168464,Clypeolampadidae
235016,Clytiopsidae
70261,Cnemidiastridae
130634,Cnismatocentridae
265758,Cobitidae
99498,Coccolepidae
87607,Coccoserididae
59771,Cocculinellidae
59772,Cocculinidae
312800,Cochlicopidae
149818,Cochliodontidae
264497,Cochliopidae
86826,Cochloceratidae
206649,Codasteridae
144646,Codiacrinidae
59783,Codonocheilidae
68076,Coelacanthidae
204856,Coeloceratidae
278145,Coelodiscidae
150135,Coelolepidae
166204,Coelonellidae
82975,Coeloptychidae
59784,Coelostylinidae
87609,Coenitidae
219622,Coenobitidae
108087,Coenostromatidae
95301,Coilopoceratidae
330481,Colatooeciidae
218325,Coleiidae
104520,Coleolidae
59786,Collignoniceratidae
168496,Collyritidae
64921,Colobodontidae
59788,Colombellinidae
64706,Colospongiidae
315656,Colpodecrinidae
65217,Colpomyidae
120316,Columastreidae
59790,Columbellidae
259488,Columbicrinidae
86663,Columbitidae
114606,Columnariidae
113911,Combophyllidae
147746,Componocancridae
202604,Compositelasmatidae
101294,Compsasteridae
162684,Comptalutidae
329806,Concavicarididae
59809,Condylocardiidae
154066,Condylopygidae
327419,Conescharellinidae
83219,Congridae
59819,Conidae
58125,Conocardiidae
168475,Conoclypeidae
133758,Conocoryphidae
155145,Conokephalinidae
116552,Conophyllidae
153691,Constellariidae
119295,Contractenidae
123858,Conulariidae
168458,Conulidae
124167,Cooperinidae
151505,Copodontidae
89561,Coralliophilidae
70275,Corallistidae
59856,Corbiculidae
59874,Corbulidae
65870,Coreospiridae
59880,Cornirostridae
7430,Cornulitidae
270844,Coronakirkbyidae
90123,Coronulidae
116321,Cortinellidae
149909,Corvaspididae
154832,Corynexochidae
317869,Corynotrypidae
108250,Coryphylliidae
168517,Corystidae
173988,Corythocrinidae
118681,Coscinopleuridae
93219,Costaclymeniidae
87410,Costatoriidae
330388,Costatulitidae
59889,Costellariidae
64824,Cothurnocystidae
266404,Cottidae
306538,Covracytheridae
244325,Coxiconchiidae
127370,Cranaenidae
96833,Craniidae
124215,Craniopsidae
