taxon_no,taxon_name
22294,Palaemysis
296632,Liaoningogriphus
22226,Kellibrookia
22227,Sairocaris
22224,Hymenocaris
22812,Protamphisopus
22798,Cirolana
305630,Eonatatolana
22808,Palaega
271224,Oniscus
271227,Porcellio
22809,Palaeocrangon
22810,Palaeophreatoicus
22818,Urda
22795,Anhelkocephalon
22796,Archaeoniscus
22797,Archaeosphaeroma
22799,Cyclosphaeroma
22800,Cymatoga
22801,Cymodoce
22802,Elioserolis
22803,Eocopea
22804,Eosphaeroma
22805,Hesslerella
22806,Heterospaeroma
22807,Isopodites
22811,Proidotea
22813,Protosphaeroma
22814,Saduria
22815,Sphaeroma
22816,Triassphaeroma
22817,Unusuropode
22222,Rhabdouraea
133213,Levinebalia
22299,Schimperella
348722,Yunnanocopia
22296,Eucopia
22297,Lophogaster
22771,Jerometichenoria
168981,Fujianocaris
169025,Tylocaris
22767,Anthracaris
22768,Bellocaris
333150,Chaocaris
22769,Elder
22770,Francocaris
22772,Mamayocaris
22774,Notocaris
22775,Paramysis
22776,Paulocaris
22777,Pseudogalathea
22778,Pseudotealliocaris
22779,Pygocephalus
22780,Siriella
341967,Sosiocaris
22781,Tylerocaris
22264,Archaeocaris
22265,Bairdops
22266,Eopteridium
22232,Caryocaris
22259,Aptychopsis
22260,Discinocaris
22261,Peltocaris
351195,Phasganocaris
7378,Proboscicaris
22262,Protocimex
22093,Tuzoia
235653,Shako
22280,Squilla
153315,Squillites
22268,Angelosquilla
22269,Bathysquilla
22270,Chloridella
22271,Gonodactylus
22272,Gorgonophontes
22273,Hemisquilla
22274,Lysiosquilla
22275,Palaeosquilla
22276,Perimecturus
22277,Pseudosculda
22278,Pseudosquilla
22279,Sculda
22281,Topangasquilla
22282,Tyrannophontes
347179,Alavatanais
347188,Electrotanais
347186,Eurotanais
22787,Anthracocaris
22792,Ophthalmapseudes
22789,Cretitanais
22788,Carlclausus
22791,Jurapseudes
22786,Acadiocaris
347196,Arcantitanais
347192,Armadillopsis
22790,Eucryptocaris
22793,Palaeotanais
347181,Proleptochelia
347194,Tytthotanais
22303,Waterstonella
291881,Acanthotelson
291883,Pleurocaris
277030,Koonaspides
288051,Amphipeltis
288239,Naranda
333145,Schramocaris
22086,Silesicaris
19047,Vachonisia
19044,Mimetaster
19045,Paramarria
19051,Cyclocarcinides
19054,Hemitrochiscus
19056,Oonocarcinus
19055,Mesoprosopon
