Max Age (Ma),Min Age (Ma),mindat ID,Locality containing Mineral,Tectonic Settings,Dated Locality ID,Dated Locality (Max Age),Lat Deg,Lat Min,Lat Sec,Lon Deg,Lon Min,Lon Sec,Decimal Degree,Mineral Name (plain),RRUFF Chemistry (plain),RRUFF Chemistry (concise),Chemistry Elements,Country of Type Locality,Structural Groupname,Fleischers Groupname
2710,2700,240064,"Redeemer Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-28,-3,-41,120,28,59,"-28.061388888889,120.48305555556",Molybdenite,MoS<sub>2</sub>,MoS_2_,Mo S,unknown,Molybdenite,molybdenite
2710,2700,240064,"Redeemer Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-28,-3,-41,120,28,59,"-28.061388888889,120.48305555556",Pyrrhotite,Fe<sup>2+</sup><sub>5</sub>Fe<sup>3+</sup><sub>2</sub>S<sup>2-</sup><sub>8</sub>,Fe^2+^_5_Fe^3+^_2_S^2-^_8_,Fe S,Japan,Nickeline,Â 
2710,2700,268585,"Songvang Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-28,-8,-16,120,27,42,"-28.137777777778,120.46166666667",Chalcopyrite,Cu<sup>1+</sup>Fe<sup>3+</sup>S<sup>2-</sup><sub>2</sub>,Cu^1+^Fe^3+^S^2-^_2_,Cu Fe S,unknown,Chalcopyrite,chalcopyrite
2710,2700,268585,"Songvang Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-28,-8,-16,120,27,42,"-28.137777777778,120.46166666667",Pyrite,FeS<sub>2</sub>,FeS_2_,Fe S,unknown,Pyrite,pyrite
2710,2700,268622,"Turret Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-28,0,-51,120,32,51,"-28.014166666667,120.5475",Arsenopyrite,FeAsS,FeAsS,Fe As S,unknown,Arsenopyrite,arsenopyrite
2710,2700,268622,"Turret Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-28,0,-51,120,32,51,"-28.014166666667,120.5475",Chalcopyrite,Cu<sup>1+</sup>Fe<sup>3+</sup>S<sup>2-</sup><sub>2</sub>,Cu^1+^Fe^3+^S^2-^_2_,Cu Fe S,unknown,Chalcopyrite,chalcopyrite
2710,2700,268622,"Turret Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-28,0,-51,120,32,51,"-28.014166666667,120.5475",Pyrite,FeS<sub>2</sub>,FeS_2_,Fe S,unknown,Pyrite,pyrite
2710,2700,268622,"Turret Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-28,0,-51,120,32,51,"-28.014166666667,120.5475",Pyrrhotite,Fe<sup>2+</sup><sub>5</sub>Fe<sup>3+</sup><sub>2</sub>S<sup>2-</sup><sub>8</sub>,Fe^2+^_5_Fe^3+^_2_S^2-^_8_,Fe S,Japan,Nickeline,Â 
3200,3200,109701,"Anaconda Copper Mine (Murrin Murrin Copper Mine; Eulaminna Copper Mine), Leonora Shire, Western Australia, Australia",Oceanic Arc (Subduction),109701,"Anaconda Copper Mine (Murrin Murrin Copper Mine; Eulaminna Copper Mine), Leonora Shire, Western Australia, Australia",-28,-58,-8,121,46,11,"-28.968888888889,121.76972222222",Bornite,Cu<sup>1+</sup><sub>5</sub>Fe<sup>3+</sup>S<sup>2-</sup><sub>4</sub>,Cu^1+^_5_Fe^3+^S^2-^_4_,Cu Fe S,unknown,Â ,Â 
3200,3200,109701,"Anaconda Copper Mine (Murrin Murrin Copper Mine; Eulaminna Copper Mine), Leonora Shire, Western Australia, Australia",Oceanic Arc (Subduction),109701,"Anaconda Copper Mine (Murrin Murrin Copper Mine; Eulaminna Copper Mine), Leonora Shire, Western Australia, Australia",-28,-58,-8,121,46,11,"-28.968888888889,121.76972222222",Chalcocite,Cu<sup>1+</sup><sub>2</sub>S<sup>2-</sup>,Cu^1+^_2_S^2-^,Cu S,unknown,Â ,Â 
3200,3200,109701,"Anaconda Copper Mine (Murrin Murrin Copper Mine; Eulaminna Copper Mine), Leonora Shire, Western Australia, Australia",Oceanic Arc (Subduction),109701,"Anaconda Copper Mine (Murrin Murrin Copper Mine; Eulaminna Copper Mine), Leonora Shire, Western Australia, Australia",-28,-58,-8,121,46,11,"-28.968888888889,121.76972222222",Chalcopyrite,Cu<sup>1+</sup>Fe<sup>3+</sup>S<sup>2-</sup><sub>2</sub>,Cu^1+^Fe^3+^S^2-^_2_,Cu Fe S,unknown,Chalcopyrite,chalcopyrite
