Max Age (Ma),Min Age (Ma),mindat ID,Locality containing Mineral,Tectonic Settings,Dated Locality ID,Dated Locality (Max Age),Lat Deg,Lat Min,Lat Sec,Lon Deg,Lon Min,Lon Sec,Decimal Degree,Mineral Name (plain),RRUFF Chemistry (plain),RRUFF Chemistry (concise),Chemistry Elements,Country of Type Locality,Structural Groupname,Fleischers Groupname
1703,1600,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",-31,-58,-7,141,27,39,"-31.968611111111,141.46083333333",Aurichalcite,Zn<sup>2+</sup><sub>5</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>6</sub>,Zn^2+^_5_(CO_3_)_2_(OH)_6_,Zn Cu C O H,Russia,Â ,Â 
1703,1600,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",-31,-58,-7,141,27,39,"-31.968611111111,141.46083333333",Azurite,Cu<sup>2+</sup><sub>3</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>,Cu^2+^_3_(CO_3_)_2_(OH)_2_,Cu C O H,France,Â ,Â 
1703,1600,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",-31,-58,-7,141,27,39,"-31.968611111111,141.46083333333",Bastnasite-(Ce),CeCO<sub>3</sub>F,CeCO_3_F,Ce C O F,Sweden,BastnÃ¤site,Â 
1703,1600,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",-31,-58,-7,141,27,39,"-31.968611111111,141.46083333333",Brianyoungite,Zn<sup>2+</sup><sub>3</sub>CO<sub>3</sub>(OH)<sub>4</sub>,Zn^2+^_3_CO_3_(OH)_4_,Zn C O H,United Kingdom,Â ,Â 
1703,1600,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",-31,-58,-7,141,27,39,"-31.968611111111,141.46083333333",Calcite,CaCO<sub>3</sub>,CaCO_3_,Ca C O,unknown,Calcite,calcite
1703,1600,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",-31,-58,-7,141,27,39,"-31.968611111111,141.46083333333",Cerussite,PbCO<sub>3</sub>,PbCO_3_,Pb C O,Italy,Aragonite,aragonite
1703,1600,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",-31,-58,-7,141,27,39,"-31.968611111111,141.46083333333",Dolomite,CaMg(CO<sub>3</sub>)<sub>2</sub>,CaMg(CO_3_)_2_,Ca Mg C O,Italy,Dolomite,dolomite
1703,1600,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",-31,-58,-7,141,27,39,"-31.968611111111,141.46083333333",Hydrocerussite,Pb<sup>2+</sup><sub>3</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>,Pb^2+^_3_(CO_3_)_2_(OH)_2_,Pb C O H,Sweden,Â ,Â 
1703,1600,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",-31,-58,-7,141,27,39,"-31.968611111111,141.46083333333",Hydrozincite,Zn<sup>2+</sup><sub>5</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>6</sub>,Zn^2+^_5_(CO_3_)_2_(OH)_6_,Zn C O H,Austria,Â ,Â 
1703,1600,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",-31,-58,-7,141,27,39,"-31.968611111111,141.46083333333",Leadhillite,Pb<sub>4</sub>(SO<sub>4</sub>)(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>,Pb_4_(SO_4_)(CO_3_)_2_(OH)_2_,Pb S O C H,United Kingdom,Â ,Â 
1703,1600,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",-31,-58,-7,141,27,39,"-31.968611111111,141.46083333333",Malachite,Cu<sup>2+</sup><sub>2</sub>CO<sub>3</sub>(OH)<sub>2</sub>,Cu^2+^_2_CO_3_(OH)_2_,Cu C O H,unknown,Malachite,rosasite
1703,1600,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",-31,-58,-7,141,27,39,"-31.968611111111,141.46083333333",Rhodochrosite,Mn<sup>2+</sup>CO<sub>3</sub>,Mn^2+^CO_3_,Mn C O,Romania,Calcite,calcite
