Max Age (Ma),Min Age (Ma),mindat ID,Locality containing Mineral,Tectonic Settings,Dated Locality ID,Dated Locality (Max Age),Lat Deg,Lat Min,Lat Sec,Lon Deg,Lon Min,Lon Sec,Decimal Degree,Mineral Name (plain),RRUFF Chemistry (plain),RRUFF Chemistry (concise),Chemistry Elements,Country of Type Locality,Structural Groupname,Fleischers Groupname
2680,2600,203518,"Great Boulder Mine (Phantom Lode; Great Boulder South; Great Boulder North; Great Boulder Extended), Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",0,0,0,0,0,0,"0,0",Ilmenite,Fe<sup>2+</sup>Ti<sup>4+</sup>O<sub>3</sub>,Fe^2+^Ti^4+^O_3_,Fe Ti O,Russia,Corundum,ilmenite
2680,2600,203518,"Great Boulder Mine (Phantom Lode; Great Boulder South; Great Boulder North; Great Boulder Extended), Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",0,0,0,0,0,0,"0,0",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
2680,2600,6642,"Lake View Consols Mine (Lake View And Star), Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",-30,-40,0,121,28,0,"-30.666666666667,121.46666666667",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
2680,2600,180018,"Oroya Brownhill Mine (Brownhill Lease; Oroya Block North; Oroya Block South), Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",0,0,0,0,0,0,"0,0",Hematite,Fe<sup>3+</sup><sub>2</sub>O<sub>3</sub>,Fe^3+^_2_O_3_,Fe O,unknown,Corundum,hematite
2680,2600,239115,"Hannan South Deposit, Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",-30,-54,-4,121,32,42,"-30.901111111111,121.545",Hematite,Fe<sup>3+</sup><sub>2</sub>O<sub>3</sub>,Fe^3+^_2_O_3_,Fe O,unknown,Corundum,hematite
2680,2600,239115,"Hannan South Deposit, Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",-30,-54,-4,121,32,42,"-30.901111111111,121.545",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
2727,2594,16610,"Mount Charlotte Gold Mine, Kalgoorlie-Boulder Shire, Western Australia, Australia",,16610,"Mount Charlotte Gold Mine, Kalgoorlie-Boulder Shire, Western Australia, Australia",-30,-44,-33,121,28,47,"-30.7425,121.47972222222",Baddeleyite,ZrO<sub>2</sub>,ZrO_2_,Zr O,Sri Lanka,Baddeleyite,Â 
2680,2600,12564,"Kanowna, Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",-30,-34,-60,121,36,0,"-30.583333333333,121.6",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
2680,2600,122817,"Acra Prospect, Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",-30,-32,-10,122,5,0,"-30.536111111111,122.08333333333",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
2680,2600,251195,"Loganberry Prospect, Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",0,0,0,0,0,0,"0,0",Hematite,Fe<sup>3+</sup><sub>2</sub>O<sub>3</sub>,Fe^3+^_2_O_3_,Fe O,unknown,Corundum,hematite
